ts_code,indx_name,indx_csname,pub_party_name,pub_date,base_date,bp,adj_circle
950096.CSI,中证上海国企指数,上海国企,中证指数有限公司、上海证券交易所,20160511,20121231,1000.0,半年
930840.CSI,中证港股通高股息精选人民币指数,港股通高息精选CNY,中证指数有限公司,20160608,20141114,3000.0,一年
930865.CSI,中证5年期地方政府债指数,5年地债,中证指数有限公司,20160719,20130630,100.0,三个月
930850.CSI,中证智能制造主题指数,智能制造,中证指数有限公司、上海证券交易所,20160720,20120629,1000.0,半年
930851.CSI,中证云计算与大数据主题指数,云计算,中证指数有限公司、上海证券交易所,20160720,20120629,1000.0,半年
950105.CSI,上证证券行业指数,上证证券,中证指数有限公司、上海证券交易所,20161018,20121231,1000.0,半年
930901.CSI,中证动漫游戏指数,动漫游戏,中证指数有限公司、上海证券交易所,20161018,20121231,1000.0,半年
930902.CSI,中证大数据产业指数,中证数据,中证指数有限公司、上海证券交易所,20161018,20121231,1000.0,半年
930903.CSI,中证A股指数,中证A股,中证指数有限公司、上海证券交易所,20161018,19991231,1000.0,自动调整
950109.CSI,上证10年期地方政府债指数,上证10年地债,中证指数有限公司、上海证券交易所,20161114,20131231,100.0,一个月
930914.CSI,中证港股通高股息投资指数,港股通高股息,中证指数有限公司,20161125,20141114,3000.0,一年
930910.CSI,中证全指农牧渔指数,农牧渔,中证指数有限公司,20161212,20041231,1000.0,半年
SPSIBI.OTH,标普生物科技精选行业指数,标普生物科技精选行业指数,标普道琼斯指数有限公司,20060127,19991217,1000.0,
930931.CSI,中证港股通50指数,港股通50,中证指数有限公司,20170116,20141114,3000.0,半年
000171.CSI,中国战略新兴产业成份指数,新兴成指,中证指数有限公司、上海证券交易所,20170125,20101231,1000.0,半年
930955.CSI,中证红利低波动100指数,红利低波100,中证指数有限公司,20170526,20051230,1000.0,三个月
930986.CSI,中证金融科技主题指数,金融科技,中证指数有限公司,20170622,20140630,1000.0,半年
930957.CSI,中证港股通中国100指数,港股通中国100,中证指数有限公司,20170623,20141114,3000.0,半年
930965.CSI,中证港股通医药卫生综合指数,港股通医药C,中证指数有限公司,20170623,20141114,3000.0,半年
930967.CSI,中证港股通信息技术综合指数,港股通信息C,中证指数有限公司,20170623,20141114,3000.0,半年
930977.CSI,中证港股通信息技术综合人民币指数,港股通信息CCNY,中证指数有限公司,20170623,20141114,3000.0,半年
931233.CSI,中证港股通央企红利指数,港股通央企红利,中证指数有限公司,20170628,20141114,1000.0,一年
930997.CSI,中证新能源汽车产业指数,新能源车,中证指数有限公司,20170719,20141231,1000.0,半年
931000.CSI,中证粤港澳大湾区发展主题指数,大湾区,中证指数有限公司,20170719,20161230,1000.0,半年
