ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20160714,3054.0182,3054.9748,3057.0458,3036.5234,3060.6893,-6.6711,-0.218,180194804,208939031.3096
000001.SH,20160713,3060.6893,3049.5128,3069.0469,3048.1991,3049.381,11.3083,0.3708,253659384,279350871.8913
000001.SH,20160712,3049.381,2992.5195,3049.6814,2984.4205,2994.9167,54.4643,1.8186,259486295,288656744.0571
000001.SH,20160711,2994.9167,2993.7489,3022.9439,2990.9071,2988.0939,6.8228,0.2283,224338224,271916499.9038
000001.SH,20160708,2988.0939,3000.3263,3001.5506,2983.881,3016.8467,-28.7528,-0.9531,168986859,209672668.1285
000001.SH,20160707,3016.8467,3009.3533,3024.1087,2994.6426,3017.2924,-0.4457,-0.0148,222681667,270197134.2379
000001.SH,20160706,3017.2924,2998.5207,3017.6523,2984.8278,3006.3919,10.9005,0.3626,212370920,246497840.9506
000001.SH,20160705,3006.3919,2991.7524,3010.275,2990.6416,2988.604,17.7879,0.5952,235204450,270418011.6289
000001.SH,20160704,2988.604,2924.293,2992.4978,2922.5196,2932.4758,56.1282,1.914,222017132,253150365.2023
000001.SH,20160701,2932.4758,2931.8016,2944.9894,2925.8101,2929.6057,2.8701,0.098,141246227,173006184.7935
000001.SH,20160630,2929.6057,2931.4805,2938.1374,2922.3124,2931.5923,-1.9866,-0.0678,154464930,187459798.1004
000001.SH,20160629,2931.5923,2918.5337,2933.9974,2915.0618,2912.5574,19.0349,0.6535,193215586,223406351.2752
000001.SH,20160628,2912.5574,2885.0112,2913.5817,2878.8243,2895.7033,16.8541,0.582,173871047,211079306.3427
000001.SH,20160627,2895.7033,2840.5585,2895.731,2840.2765,2854.2864,41.4169,1.451,156697472,189854731.207
000001.SH,20160624,2854.2864,2883.759,2899.5689,2807.5976,2891.9602,-37.6738,-1.3027,190842609,214913449.6823
000001.SH,20160623,2891.9602,2902.3979,2904.1115,2878.661,2905.5495,-13.5893,-0.4677,136137375,163680266.6907
000001.SH,20160622,2905.5495,2872.7337,2905.978,2869.5133,2878.5575,26.992,0.9377,130590424,156339384.1416
000001.SH,20160621,2878.5575,2898.3837,2919.302,2869.1759,2888.8091,-10.2516,-0.3549,164359089,198201921.4862
000001.SH,20160620,2888.8091,2887.6358,2891.6583,2864.0199,2885.105,3.7041,0.1284,136571051,163734439.5698
000001.SH,20160617,2885.105,2873.0089,2900.2993,2872.1845,2872.8166,12.2884,0.4277,171472517,195432492.2271
000001.SH,20160616,2872.8166,2878.4023,2887.7426,2865.3878,2887.2101,-14.3935,-0.4985,173882767,201957154.9662
000001.SH,20160615,2887.2101,2814.6931,2894.2639,2811.7808,2842.1886,45.0215,1.584,166671069,197199330.8479
000001.SH,20160614,2842.1886,2824.2285,2843.4558,2822.0609,2833.0707,9.1179,0.3218,119755274,138531751.7007
000001.SH,20160613,2833.0707,2897.2731,2911.1582,2832.5072,2927.159,-94.0883,-3.2143,169255434,198547765.4947
000001.SH,20160608,2927.159,2932.3761,2937.9863,2908.3666,2936.0449,-8.8859,-0.3026,143046071,177377309.4817
000001.SH,20160607,2936.0449,2936.2821,2938.444,2923.502,2934.0979,1.947,0.0664,132987867,163605603.3178
000001.SH,20160606,2934.0979,2940.9943,2945.9416,2922.2833,2938.682,-4.5841,-0.156,141993742,172426791.3962
000001.SH,20160603,2938.682,2929.7881,2945.5193,2915.185,2925.2293,13.4527,0.4599,172021023,211302476.5058
000001.SH,20160602,2925.2293,2911.2193,2925.6702,2906.5242,2913.5077,11.7216,0.4023,159716916,185084899.734
000001.SH,20160601,2913.5077,2917.1541,2929.0759,2909.5121,2916.616,-3.1083,-0.1066,188386421,219868045.3956
000001.SH,20160531,2916.616,2822.5927,2917.1351,2822.5927,2822.4509,94.1651,3.3363,215260341,236528504.7789
000001.SH,20160530,2822.4509,2814.6507,2830.9697,2794.6608,2821.046,1.4049,0.0498,106319589,115587479.3456
000001.SH,20160527,2821.046,2817.9684,2832.7994,2809.7992,2822.4429,-1.3969,-0.0495,109845823,123858864.6089
000001.SH,20160526,2822.4429,2813.5431,2827.0916,2780.7634,2815.0863,7.3566,0.2613,114766797,127105183.3297
000001.SH,20160525,2815.0863,2835.0293,2843.165,2807.7488,2821.6663,-6.58,-0.2332,103527265,117767628.7296
000001.SH,20160524,2821.6663,2839.6823,2839.695,2807.1878,2843.645,-21.9787,-0.7729,111452445,121096058.8128
000001.SH,20160523,2843.645,2826.3123,2848.0713,2826.2562,2825.4831,18.1619,0.6428,120470455,139950365.055
000001.SH,20160520,2825.4831,2792.8883,2825.9517,2785.0795,2806.9061,18.577,0.6618,108700899,123794592.2807
000001.SH,20160519,2806.9061,2802.3147,2829.4023,2801.5475,2807.5141,-0.608,-0.0217,111595071,124151052.1797
000001.SH,20160518,2807.5141,2828.178,2828.2552,2781.4165,2843.6841,-36.17,-1.2719,140487826,149396820.8775
000001.SH,20160517,2843.6841,2850.9264,2860.3205,2832.4592,2850.8617,-7.1776,-0.2518,123369064,140000997.8648
000001.SH,20160516,2850.8617,2816.7754,2851.229,2804.9907,2827.1087,23.753,0.8402,114653592,126844299.0535
000001.SH,20160513,2827.1087,2828.4615,2850.0929,2814.1146,2835.8618,-8.7531,-0.3087,114319710,123692646.9421
000001.SH,20160512,2835.8618,2812.1083,2839.2763,2781.2362,2837.0372,-1.1754,-0.0414,136337655,140838630.9363
000001.SH,20160511,2837.0372,2843.5448,2857.2539,2818.6989,2832.5912,4.446,0.157,135795466,146022521.9062
000001.SH,20160510,2832.5912,2822.3273,2845.2376,2820.1642,2832.1125,0.4787,0.0169,120829310,128535266.0997
000001.SH,20160509,2832.1125,2896.1623,2896.1623,2821.8261,2913.2476,-81.1351,-2.785,180378330,188705685.6616
000001.SH,20160506,2913.2476,2998.4022,3003.5904,2913.0361,2997.8416,-84.594,-2.8218,206796498,234077433.966
000001.SH,20160505,2997.8416,2987.0224,2999.1181,2977.1998,2991.2721,6.5695,0.2196,144831383,163113776.353
000001.SH,20160504,2991.2721,2983.0266,3004.4184,2978.3295,2992.6432,-1.3711,-0.0458,165407106,189046374.9111
000001.SH,20160503,2992.6432,2940.3923,2993.5346,2929.8148,2938.3235,54.3197,1.8487,168703643,195816604.8129
000001.SH,20160429,2938.3235,2935.3756,2950.5761,2930.3565,2945.5886,-7.2651,-0.2466,109310628,128502732.169
000001.SH,20160428,2945.5886,2955.7421,2959.5123,2916.3744,2953.6709,-8.0823,-0.2736,138663274,154614698.9782
000001.SH,20160427,2953.6709,2967.1902,2976.0221,2949.4322,2964.6997,-11.0288,-0.372,130867640,150286301.521
000001.SH,20160426,2964.6997,2944.7156,2965.4291,2933.9707,2946.6704,18.0293,0.6119,117711604,134292458.7128
000001.SH,20160425,2946.6704,2949.9727,2954.0921,2917.0202,2959.24,-12.5696,-0.4248,125856243,140638756.29
000001.SH,20160422,2959.24,2933.0349,2960.2089,2926.7759,2952.8911,6.3489,0.215,137211668,148800430.8448
000001.SH,20160421,2952.8911,2954.3703,2990.6729,2943.464,2972.5837,-19.6926,-0.6625,189406849,206477126.88
000001.SH,20160420,2972.5837,3050.3805,3055.689,2905.0485,3042.8232,-70.2395,-2.3084,283144219,311154870.3543
000001.SH,20160419,3042.8232,3047.1326,3054.5032,3024.8951,3033.6604,9.1628,0.302,156533200,180948014.276
000001.SH,20160418,3033.6604,3058.4629,3058.4629,3022.9701,3078.1166,-44.4562,-1.4443,183304512,208613086.2911
000001.SH,20160415,3078.1166,3085.0263,3089.9509,3066.8721,3082.3615,-4.2449,-0.1377,189613051,224141313.3734
000001.SH,20160414,3082.3615,3080.09,3086.6975,3056.9886,3066.6381,15.7234,0.5127,208237830,235056056.2738
000001.SH,20160413,3066.6381,3041.3584,3097.1648,3041.3584,3023.6464,42.9917,1.4218,310003246,331420683.2241
000001.SH,20160412,3023.6464,3031.3013,3036.8249,3001.3151,3033.957,-10.3106,-0.3398,182718668,207079807.8619
000001.SH,20160411,3033.957,3006.909,3048.9766,3006.909,2984.9582,48.9988,1.6415,220018324,252328393.4817
000001.SH,20160408,2984.9582,2988.2,2996.1706,2960.46,3008.42,-23.4618,-0.7799,187904633,207337095.111
000001.SH,20160407,3008.42,3058.3388,3062.3579,3007.0603,3050.592,-42.172,-1.3824,220919506,243961813.6912
000001.SH,20160406,3050.592,3039.7449,3059.7937,3029.0049,3053.0654,-2.4734,-0.081,232262051,254914554.2804
000001.SH,20160405,3053.0654,3000.9382,3057.3297,2993.1476,3009.5298,43.5356,1.4466,256730344,276654687.0853
000001.SH,20160401,3009.5298,2997.0883,3009.6729,2956.247,3003.9152,5.6146,0.1869,206545866,217520534.0199
000001.SH,20160331,3003.9152,3009.3672,3023.4086,2992.9155,3000.6449,3.2703,0.109,220413445,252219758.2719
000001.SH,20160330,3000.6449,2941.2177,3001.1055,2941.2177,2919.8318,80.8131,2.7677,210371451,234410621.0239
000001.SH,20160329,2919.8318,2956.7052,2962.2029,2905.2513,2957.82,-37.9882,-1.2843,182965345,201625833.1786
000001.SH,20160328,2957.82,2988.0104,3008.1675,2948.5259,2979.4343,-21.6143,-0.7254,202021241,232323731.4007
000001.SH,20160325,2979.4343,2956.1997,2981.4077,2952.1057,2960.9704,18.4639,0.6236,175074344,200818437.4558
000001.SH,20160324,2960.9704,2986.801,2998.1537,2960.5366,3009.9604,-48.99,-1.6276,237006403,274795125.5966
000001.SH,20160323,3009.9604,2991.1685,3012.5596,2980.8554,2999.3628,10.5976,0.3533,216977462,256328163.094
000001.SH,20160322,2999.3628,3001.63,3019.1008,2988.4256,3018.8017,-19.4389,-0.6439,270377322,311025315.9817
000001.SH,20160321,3018.8017,2978.4554,3028.3215,2973.7575,2955.1498,63.6519,2.1539,352400438,380823080.4124
000001.SH,20160318,2955.1498,2915.5177,2971.5508,2908.7416,2904.8319,50.3179,1.7322,313332735,328241161.4959
000001.SH,20160317,2904.8319,2875.4108,2921.0002,2857.1913,2870.43,34.4019,1.1985,200290213,213843633.1298
000001.SH,20160316,2870.43,2858.7085,2881.5293,2854.1919,2864.3684,6.0616,0.2116,186492535,190193858.282
000001.SH,20160315,2864.3684,2853.9776,2865.787,2819.7949,2859.499,4.8694,0.1703,163386667,170219522.4032
000001.SH,20160314,2859.499,2830.0836,2889.8164,2823.0282,2810.3074,49.1916,1.7504,194816030,202793146.7864
000001.SH,20160311,2810.3074,2781.6004,2815.6074,2772.5512,2804.7255,5.5819,0.199,127247554,128450313.7709
000001.SH,20160310,2804.7255,2847.567,2863.1763,2803.4764,2862.556,-57.8305,-2.0202,138979461,141812410.338
000001.SH,20160309,2862.556,2839.4112,2863.0147,2811.7175,2901.387,-38.831,-1.3384,183355383,177072557.8831
000001.SH,20160308,2901.387,2895.6664,2902.6212,2802.5628,2897.3395,4.0475,0.1397,233482661,220513953.7259
000001.SH,20160307,2897.3395,2886.6403,2911.8386,2871.3462,2874.1468,23.1927,0.8069,217466836,208559323.3638
000001.SH,20160304,2874.1468,2848.5384,2880.3719,2808.8493,2859.7582,14.3886,0.5031,312495169,294982112.7981
000001.SH,20160303,2859.7582,2847.3305,2878.445,2840.8741,2849.6811,10.0771,0.3536,287478210,279971936.0751
000001.SH,20160302,2849.6811,2733.767,2852.7001,2732.5388,2733.17,116.5111,4.2629,270961783,259318766.5467
000001.SH,20160301,2733.17,2688.3799,2747.5621,2668.7574,2687.9788,45.1912,1.6812,187207443,182185538.1356
000001.SH,20160229,2687.9788,2754.8137,2755.8898,2638.9631,2767.2097,-79.2309,-2.8632,207410709,194640196.3945
000001.SH,20160226,2767.2097,2760.0575,2784.7525,2715.8743,2741.2454,25.9643,0.9472,191110472,190068987.7597
000001.SH,20160225,2741.2454,2922.2372,2922.2372,2729.8506,2928.896,-187.6506,-6.4069,270284416,271767143.332
000001.SH,20160224,2928.896,2889.8846,2929.8712,2872.2741,2903.3313,25.5647,0.8805,213410384,227851643.5897
000001.SH,20160223,2903.3313,2925.7082,2928.048,2872.2816,2927.175,-23.8437,-0.8146,199740663,211548952.1723
000001.SH,20160222,2927.175,2888.5984,2933.9638,2880.3474,2860.0208,67.1542,2.348,232176042,238682816.5348
000001.SH,20160219,2860.0208,2854.904,2872.7236,2840.4876,2862.8927,-2.8719,-0.1003,163391413,178424845.383
000001.SH,20160218,2862.8927,2881.7769,2893.2148,2857.6989,2867.3379,-4.4452,-0.155,219203873,230775052.843
000001.SH,20160217,2867.3379,2829.7636,2868.701,2824.3556,2836.5705,30.7674,1.0847,216909925,225964250.0828
000001.SH,20160216,2836.5705,2758.579,2840.6224,2758.579,2746.1958,90.3747,3.2909,195961614,198969133.3968
000001.SH,20160215,2746.1958,2684.9614,2760.359,2682.09,2763.492,-17.2962,-0.6259,129263932,129321056.01
000001.SH,20160205,2763.492,2783.0761,2790.061,2762.1597,2781.0227,-17.5307,-0.6304,141186284,145553630.9162
000001.SH,20160204,2781.0227,2751.4317,2793.2981,2751.3135,2739.2469,41.7758,1.5251,170382018,175347388.3829
000001.SH,20160203,2739.2469,2719.5737,2746.072,2696.8835,2749.5703,-10.3234,-0.3755,148397217,146627121.739
000001.SH,20160202,2749.5703,2687.9817,2755.1591,2687.9817,2688.8536,60.7167,2.2581,158078211,158936802.6585
000001.SH,20160201,2688.8536,2730.9844,2735.2551,2655.6234,2737.5996,-48.746,-1.7806,156383744,152830741.5536
000001.SH,20160129,2737.5996,2652.8544,2755.3665,2649.7905,2655.6609,81.9387,3.0854,186673106,180006812.6122
000001.SH,20160128,2655.6609,2711.1582,2740.5358,2647.4931,2735.5578,-79.8969,-2.9207,171120280,167357413.39
000001.SH,20160127,2735.5578,2756.082,2768.7719,2638.3016,2749.7854,-14.2276,-0.5174,215722046,207426675.0041
000001.SH,20160126,2749.7854,2907.7177,2911.9907,2743.8393,2938.5149,-188.7295,-6.4226,210836054,212608150.6502
000001.SH,20160125,2938.5149,2934.0781,2955.7826,2911.8286,2916.5624,21.9525,0.7527,153039057,164023396.4606
000001.SH,20160122,2916.5624,2911.1123,2931.3587,2851.7325,2880.4816,36.0808,1.2526,159810734,170062245.3799
000001.SH,20160121,2880.4816,2934.3912,2998.7904,2880.0848,2976.6938,-96.2122,-3.2322,191675668,203634572.9447
000001.SH,20160120,2976.6938,2993.0138,3016.2827,2951.9219,3007.7393,-31.0455,-1.0322,216505474,234562924.5794
000001.SH,20160119,3007.7393,2914.4078,3012.0684,2906.4038,2913.8367,93.9026,3.2226,205279703,222674800.3514
000001.SH,20160118,2913.8367,2847.5389,2945.4496,2844.7042,2900.9698,12.8669,0.4435,164699694,173619962.6526
000001.SH,20160115,2900.9698,2988.0483,3001.7081,2883.8679,3007.6489,-106.6791,-3.5469,198721697,206603969.2469
000001.SH,20160114,3007.6489,2874.0489,3012.2926,2867.5532,2949.5968,58.0521,1.9681,212905644,218013656.6553
000001.SH,20160113,2949.5968,3041.1072,3059.0149,2949.2904,3022.8611,-73.2643,-2.4237,194282106,208376044.6231
000001.SH,20160112,3022.8611,3026.1594,3047.6635,2978.4631,3016.7038,6.1573,0.2041,207659622,224135432.0948
000001.SH,20160111,3016.7038,3131.8533,3166.2153,3016.6967,3186.412,-169.7082,-5.326,271643691,286379628.1425
000001.SH,20160108,3186.412,3194.6254,3235.451,3056.8776,3125.0015,61.4105,1.9651,286440822,324167135.4473
000001.SH,20160107,3125.0015,3309.657,3309.657,3115.8853,3361.8404,-236.8389,-7.0449,70569123,79981988.6536
000001.SH,20160106,3361.8404,3291.1947,3362.9739,3288.933,3287.7105,74.1299,2.2548,238886670,285243223.3906
000001.SH,20160105,3287.7105,3196.651,3328.1385,3189.6048,3296.2582,-8.5477,-0.2593,266882083,328417226.0807
000001.SH,20160104,3296.2582,3536.5885,3538.6894,3295.7409,3539.1819,-242.9237,-6.8638,184418423,240929155.2154
000001.SH,20151231,3539.1819,3570.4671,3580.6023,3538.3527,3572.8762,-33.6943,-0.9431,176963659,254031073.8282
000001.SH,20151230,3572.8762,3566.7308,3573.6838,3538.1123,3563.7356,9.1406,0.2565,187889609,267787665.2689
000001.SH,20151229,3563.7356,3528.3953,3564.1706,3515.52,3533.7788,29.9568,0.8477,182551923,250938907.2689
000001.SH,20151228,3533.7788,3635.7691,3641.5875,3533.7788,3627.9135,-94.1347,-2.5947,269983278,369042819.4088
000001.SH,20151225,3627.9135,3614.0541,3635.2557,3601.7382,3612.4851,15.4284,0.4271,198451111,274660042.6045
